species,province,occurrences_in_province_2023
Corvus macrorhynchos,Sultan Kudarat,59
Corvus macrorhynchos,Surigao del Norte,55
Corvus macrorhynchos,Surigao del Sur,40
Corvus macrorhynchos,Tarlac,13
Corvus macrorhynchos,Tawi-Tawi,3
Corvus macrorhynchos,Zambales,27
Corvus macrorhynchos,Zamboanga del Norte,2
Corvus macrorhynchos,Zamboanga del Sur,175
Egretta garzetta,Abra,3
Egretta garzetta,Agusan del Norte,4
Egretta garzetta,Agusan del Sur,8
Egretta garzetta,Aklan,8
Egretta garzetta,Albay,8
Egretta garzetta,Antique,25
Egretta garzetta,Aurora,2
Egretta garzetta,Bataan,68
Egretta garzetta,Batanes,482
Egretta garzetta,Batangas,36
Egretta garzetta,Bohol,50
Egretta garzetta,Bukidnon,4
Egretta garzetta,Bulacan,276
Egretta garzetta,Cagayan,9
Egretta garzetta,Camarines Sur,44
Egretta garzetta,Camiguin,7
Egretta garzetta,Capiz,3
Egretta garzetta,Cavite,79
Egretta garzetta,Cebu,47
Egretta garzetta,Compostela Valley,5
Egretta garzetta,Cotabato,2
Egretta garzetta,Davao Occidental,2
Egretta garzetta,Davao del Norte,58
Egretta garzetta,Davao del Sur,91
Egretta garzetta,Eastern Samar,1
Egretta garzetta,Guimaras,2
Egretta garzetta,Ifugao,5
Egretta garzetta,Ilocos Norte,18
Egretta garzetta,Ilocos Sur,8
Egretta garzetta,Iloilo,37
Egretta garzetta,Isabela,3
Egretta garzetta,La Union,12
Egretta garzetta,Laguna,118
Egretta garzetta,Lanao del Norte,2
Egretta garzetta,Leyte,37
Egretta garzetta,Maguindanao,25
Egretta garzetta,Marinduque,3
Egretta garzetta,Masbate,23
Egretta garzetta,Metropolitan Manila,3
Egretta garzetta,Misamis Occidental,2
Egretta garzetta,Misamis Oriental,1
Egretta garzetta,National Capital Region (Manila),1130
Egretta garzetta,Negros Occidental,128
Egretta garzetta,Negros Oriental,42
Egretta garzetta,Northern Samar,3
Egretta garzetta,Nueva Ecija,9
Egretta garzetta,Nueva Vizcaya,1
Egretta garzetta,Occidental Mindoro,25
Egretta garzetta,Oriental Mindoro,8
Egretta garzetta,Palawan,191
Egretta garzetta,Pampanga,112
Egretta garzetta,Pangasinan,38
Egretta garzetta,Quezon,6
Egretta garzetta,Rizal,128
Egretta garzetta,Romblon,2
Egretta garzetta,Samar,5
Egretta garzetta,Sarangani,8
Egretta garzetta,Siquijor,12
Egretta garzetta,Sorsogon,35
Egretta garzetta,South Cotabato,18
Egretta garzetta,Sultan Kudarat,13
Egretta garzetta,Surigao del Norte,23
Egretta garzetta,Surigao del Sur,22
Egretta garzetta,Tarlac,41
Egretta garzetta,Tawi-Tawi,3
Egretta garzetta,Zambales,17
Egretta garzetta,Zamboanga del Sur,59
Geopelia striata,Abra,6
Geopelia striata,Agusan del Norte,11
Geopelia striata,Agusan del Sur,5
Geopelia striata,Aklan,32
Geopelia striata,Albay,17
Geopelia striata,Antique,15
Geopelia striata,Aurora,1
Geopelia striata,Basilan,1
Geopelia striata,Bataan,67
Geopelia striata,Batangas,27
Geopelia striata,Bohol,72
Geopelia striata,Bukidnon,9
Geopelia striata,Bulacan,82
Geopelia striata,Cagayan,4
Geopelia striata,Camarines Norte,1
Geopelia striata,Camarines Sur,41
Geopelia striata,Camiguin,21
Geopelia striata,Capiz,3
Geopelia striata,Catanduanes,1
Geopelia striata,Cavite,122
Geopelia striata,Cebu,171
Geopelia striata,Compostela Valley,12
Geopelia striata,Cotabato,8
Geopelia striata,Davao Oriental,1
Geopelia striata,Davao del Norte,30
Geopelia striata,Davao del Sur,179
Geopelia striata,Guimaras,6
Geopelia striata,Ifugao,3
Geopelia striata,Ilocos Norte,21
